description,category
CARD 4611 NSF FEE - OAKLAND CA,Fees
CARD 7753 VERIZON,Utilities
WEB 5399 CHIME TRANSFER #5399,P2P
PURCHASE BUDGET RENTAL STORE 4783,Transport
AUTH 4608 ARBY'S,Restaurants
FARMERS MARKET #1199,Other
REALPAGE PAYMENTS - SEATTLE WA,Rent
POS 3965 PHILLIPS 66,Gas
VONS - SAN FRANCISCO CA,Grocery
PURCHASE BUILDINGLINK,Rent
POS 7988 JETBLUE /ONLINE,Travel
STUMPTOWN,Coffee
WEB 4261 PHYSICAL THERAPY STORE 4261,Health
PAYMENT BREWER'S TAPROOM,Bars
PURCHASE PROPERTY MANAGEMENT /ONLINE,Rent
GAS BUDDY,Gas
MARRIOTT,Travel
WEB 1716 COSTCO #1716,Grocery
PURCHASE UBER TRIP,Transport
POS 5779 COSTCO FUEL,Gas
AUTH 7422 GOODWILL OAKLAND CA,Other
WEB 5333 CHECKERS STORE 5333,Restaurants
POS 1369 CAFE NERO /ONLINE,Coffee
TIM HORTONS,Coffee
PAYMENT SUBWAY,Restaurants
WEB 4612 EMERGENCY ROOM,Health
WEB 8130 COFFEE REPUBLIC *8130,Coffee
PAYMENT H-E-B NEW YORK NY,Grocery
AUTH 9735 TJ MAXX #9735,Shopping
ONLINE RENT PAYMENT SEATTLE WA,Rent
CARD 3412 SHELL AUSTIN TX,Gas
WEB 1714 EXXONMOBIL,Gas
MONTHLY SERVICE FEE - NEW YORK NY,Fees
AMAZON *7130,Shopping
CHIME TRANSFER,P2P
AUTH 1377 CRUNCHYROLL #1377,Entertainment
POS 3250 WOW INTERNET #3250,Utilities
GOOGLE PAY,P2P
AUTH 8071 T-MOBILE STORE 8071,Utilities
CARD 6409 ONLINE RENT PAYMENT #6409,Rent
PAYMENT NORDSTROM STORE 2036,Shopping
SERVICE CHARGE /ONLINE,Fees
GAMESTOP - OAKLAND CA,Shopping
PAYMENT OPTOMETRY CENTER STORE 5350,Health
T-MOBILE,Utilities
PAYMENT COMCAST /ONLINE,Utilities
PAYMENT POST OFFICE *1858,Other
SERVICE CHARGE #5857,Fees
WATER BILL #6706,Utilities
PURCHASE OVERDRAFT FEE AUSTIN TX,Fees
LEASE DEPOSIT OAKLAND CA,Rent
POS 1976 APPLE CASH,P2P
WEB 7548 GLORIA JEAN'S,Coffee
PURCHASE HAPPY HOUR LOUNGE STORE 9408,Bars
PRIMARY CARE STORE 3970,Health
SEPHORA *6354,Shopping
YARDI RENT STORE 4812,Rent
PAYMENT EMERGENCY ROOM,Health
AUTH 2483 NOB HILL FOODS,Grocery
WEB 1649 ZELLE /ONLINE,P2P
PAYMENT LAUNDROMAT #4045,Other
PAYMENT SMUD ENERGY STORE 1132,Utilities
PURCHASE ALASKA AIR #4991,Travel
ANNUAL FEE #3159,Fees
WEB 7159 CASH ADVANCE FEE /ONLINE,Fees
PURCHASE CHILI'S BAR,Bars
XFINITY,Utilities
AUTH 3205 ROOFTOP BAR,Bars
EBAY #4107,Shopping
CARD 6192 FOREIGN TRANSACTION FEE AUSTIN TX,Fees
PAYMENT LAVAZZA CAFE,Coffee
WEB 3265 TOLL BRIDGE - SAN FRANCISCO CA,Transport
PAYMENT PAVILIONS STORE 6529,Grocery
AUTH 7284 SERVICE CHARGE STORE 7284,Fees
PAYMENT BANK FEE #9130,Fees
CARD 8179 PORTILLO'S /ONLINE,Restaurants
WEB 1417 REMITLY #1417,P2P
QUEST DIAGNOSTICS STORE 6524,Health
CARD REPLACEMENT FEE,Fees
POS 1704 CARIBOU COFFEE #1704,Coffee
LYFT AIRPORT AUSTIN TX,Travel
WEB 4152 SIRIUSXM - SEATTLE WA,Entertainment
AUTH 6478 FAMILY DOLLAR,Other
CARD 6865 NOB HILL FOODS STORE 6865,Grocery
LATE FEE *4091,Fees
PRICELINE /ONLINE,Travel
LIME BIKE #8872,Transport
AUTH 7737 SPIRIT AIRLINES,Travel
RENT PAYMENT PORTAL LOS ANGELES CA,Rent
SHELL,Gas
WEB 9007 KING SOOPERS #9007,Grocery
SHOPRITE STORE 4050,Grocery
WEB 9013 KROGER /ONLINE,Grocery
HERTZ,Transport
AUTH 8189 TENANT WEB *8189,Rent
CARD 4550 STUMPTOWN SEATTLE WA,Coffee
CARD 4132 AVIS RENTAL,Transport
SALVATION ARMY /ONLINE,Other
PURCHASE FRONTIER AIRLINES /ONLINE,Travel
PURCHASE WOW INTERNET,Utilities
AUTH 8642 BP - AUSTIN TX,Gas
PAYMENT JERSEY MIKE'S OAKLAND CA,Restaurants
AUTH 8046 BREWHOUSE,Bars
WEB 2435 LA COLOMBE #2435,Coffee
FRONTIER AIRLINES,Travel
PAYMENT CITY PARKING - AUSTIN TX,Transport
PAYMENT PG&E SEATTLE WA,Utilities
KROGER #2377,Grocery
ALASKA AIR *2682,Travel
POS 9293 DERMATOLOGY AUSTIN TX,Health
PAYMENT APARTMENT RENT AUSTIN TX,Rent
WEB 7824 NSF FEE - BERKELEY CA,Fees
PURCHASE XBOX LIVE *3100,Entertainment
MARRIOTT STORE 6971,Travel
AUTH 8589 GREYHOUND /ONLINE,Transport
WEB 8258 BREWER'S TAPROOM SEATTLE WA,Bars
REVOLUT STORE 7647,P2P
AUTH 3496 HILTON #3496,Travel
CASH ADVANCE FEE,Fees
AUTH 5154 HOME IMPROVEMENT /ONLINE,Other
WEB 4343 BEST BUY,Shopping
PURCHASE BANK FEE *3191,Fees
MONTHLY SERVICE FEE,Fees
PURCHASE FARMERS MARKET - OAKLAND CA,Other
VENMO *1522,P2P
LYFT XL - SAN JOSE CA,Transport
WEB 3416 NOB HILL FOODS,Grocery
WEB 1819 APPLE STORE AUSTIN TX,Shopping
CHIPOTLE,Restaurants
REALPAGE PAYMENTS /ONLINE,Rent
PURCHASE SONIC DRIVE-IN STORE 6878,Restaurants
TIM HORTONS STORE 7564,Coffee
DOMINO'S PIZZA AUSTIN TX,Restaurants
PAYMENT WINCO,Grocery
RALPHS BERKELEY CA,Grocery
BEER GARDEN,Bars
GYM MEMBERSHIP,Health
COX COMMUNICATIONS STORE 8496,Utilities
AUTH 7137 WIRE FEE STORE 7137,Fees
AUTH 4281 ARBY'S,Restaurants
HARRIS TEETER,Grocery
NETFLIX /ONLINE,Entertainment
SPEAKEASY /ONLINE,Bars
TEXACO,Gas
POS 5268 PHYSICAL THERAPY *5268,Health
TAPROOM /ONLINE,Bars
PURCHASE VONS,Grocery
GYM MEMBERSHIP - NEW YORK NY,Health
LYFT XL *5455,Transport
POS 9615 BATH & BODY WORKS *9615,Shopping
WISE TRANSFER /ONLINE,P2P
CARD 5707 PHYSICAL THERAPY,Health
WEB 4762 COX COMMUNICATIONS *4762,Utilities
AUTH 3095 VERIZON - SEATTLE WA,Utilities
PURCHASE ZILLOW RENT STORE 4608,Rent
LYFT RIDE,Transport
POS 3204 NBA LEAGUE PASS,Entertainment
POS 9627 UNIQLO *9627,Shopping
PAYMENT PRICELINE,Travel
PAYMENT LEASE DEPOSIT /ONLINE,Rent
CARD 9522 CARD REPLACEMENT FEE,Fees
GAS BUDDY,Gas
POS 8089 SMUD ENERGY STORE 8089,Utilities
POS 6858 OPTOMETRY CENTER /ONLINE,Health
WEB 6350 VENMO REQUEST,P2P
PURCHASE COCKTAIL CLUB,Bars
CARD 4027 TAPHOUSE - OAKLAND CA,Bars
AUTH 5956 APPLE STORE LOS ANGELES CA,Shopping
CITY GARBAGE LOS ANGELES CA,Utilities
ULTA - SEATTLE WA,Shopping
AUTH 3347 CHEESECAKE FACTORY,Restaurants
VENMO LOS ANGELES CA,P2P
AUTH 2678 GAS COMPANY SAN JOSE CA,Utilities
POS 6549 SALVATION ARMY #6549,Other
GOOGLE PAY *9817,P2P
WEB 3362 WISE TRANSFER - SAN FRANCISCO CA,P2P
CARD 7697 TRADER JOE'S STORE 7697,Grocery
RENTCAFE,Rent
AUTH 1116 DELTA AIR LINES BERKELEY CA,Travel
DELTA SHUTTLE,Transport
OLIVE GARDEN #7658,Restaurants
PURCHASE CHIPOTLE LOS ANGELES CA,Restaurants
CARD 5974 GIANT FOOD - SEATTLE WA,Grocery
MUNI METRO STORE 9432,Transport
CARD 2758 FAMILY DOLLAR,Other
PAYMENT SUNOCO,Gas
POS 9132 BIGGBY COFFEE STORE 9132,Coffee
HOSPITAL BILL,Health
POS 1583 SHELL /ONLINE,Gas
AUTH 9070 HARDWARE STORE NEW YORK NY,Other
MENTAL HEALTH SAN JOSE CA,Health
AIRPORT PARKING *7453,Travel
POS 2585 EXXONMOBIL NEW YORK NY,Gas
CARD 2414 AVAIL.CO /ONLINE,Rent
PAYMENT SCOOTER RENTAL STORE 9222,Transport
POS 2597 AVAIL.CO,Rent
POS 3188 YARD HOUSE *3188,Bars
POS 8070 OPTOMETRY CENTER *8070,Health
POS 3199 TAXI SERVICE *3199,Transport
POS 7414 STUMPTOWN #7414,Coffee
PAYMENT WISE TRANSFER *7472,P2P
EL POLLO LOCO SEATTLE WA,Restaurants
PURCHASE BOJANGLES STORE 7214,Restaurants
PURCHASE FRESH MARKET STORE 4750,Grocery
PAYMENT OPTOMETRY CENTER /ONLINE,Health
WALMART,Shopping
POS 8968 ACE HARDWARE #8968,Other
POS 9232 AMERICAN AIRLINES *9232,Travel
PURCHASE CHILI'S BAR BERKELEY CA,Bars
WEB 2542 GAS BUDDY AUSTIN TX,Gas
CARD 4094 IRISH PUB - NEW YORK NY,Bars
CASH ADVANCE FEE *1478,Fees
AUTH 7719 CIDER HOUSE,Bars
RITE AID /ONLINE,Health
WEB 4125 SPROUTS,Grocery
BLUE BOTTLE,Coffee
POS 3959 QUEST DIAGNOSTICS *3959,Health
GOODWILL NEW YORK NY,Other
AUTH 5569 AVAIL.CO,Rent
POS 1164 HOTELS.COM #1164,Travel
HULU *2635,Entertainment
PURCHASE CHILI'S BAR OAKLAND CA,Bars
PAYMENT DELTA AIR LINES,Travel
WEB 1054 CINCINNATI BELL AUSTIN TX,Utilities
PAYMENT ROOFTOP BAR,Bars
PEET'S COFFEE,Coffee
COSTCO WHOLESALE,Shopping
AUTH 8843 MEGABUS SAN FRANCISCO CA,Transport
AUTH 3482 GELSON'S,Grocery
AUTH 1509 UBER TRIP #1509,Transport
PAYMENT CVS PHARMACY,Health
SPIRIT AIRLINES STORE 9294,Travel
CHECKERS,Restaurants
ADT SECURITY #1461,Utilities
DISNEY+ *7163,Entertainment
TRANSFER FEE #9613,Fees
POS 7484 MCDONALD'S,Restaurants
PURCHASE REMITLY LOS ANGELES CA,P2P
POS 1591 PLAYSTATION STORE,Entertainment
AUTH 2292 GAMESTOP - SAN FRANCISCO CA,Shopping
WEB 7664 XBOX LIVE,Entertainment
PURCHASE CINCINNATI BELL STORE 6582,Utilities
POS 6535 HARRIS TEETER *6535,Grocery
WEB 2970 MEIJER,Grocery
INTELLIGENTSIA #3046,Coffee
AUTH 3289 GREYHOUND SAN FRANCISCO CA,Transport
PAYMENT LATE FEE #6528,Fees
CARD 6835 DELTA AIR LINES,Travel
BIRD SCOOTERS #3378,Transport
GIANT EAGLE,Grocery
RENTCAFE STORE 6508,Rent
PAYMENT HARRIS TEETER,Grocery
ZILLOW RENT,Rent
DIRECTV,Utilities
POS 3741 QDOBA,Restaurants
WEB 8110 BARCADE #8110,Bars
PAYMENT REGAL CINEMAS,Entertainment
CHILI'S STORE 3971,Restaurants
PAYMENT ANNUAL FEE *5769,Fees
POS 6087 YARDI RENT *6087,Rent
OPTOMETRY CENTER AUSTIN TX,Health
AUTH 1639 SONIC DRIVE-IN STORE 1639,Restaurants
WEB 9288 FRONTIER AIRLINES - SAN JOSE CA,Travel
SOUTHWEST *6204,Travel
ENTERPRISE RENTAL /ONLINE,Transport
BP /ONLINE,Gas
PAYMENT SPORTS BAR - BERKELEY CA,Bars
WEB 2875 TENANT WEB,Rent
POS 3929 DELTA VACATIONS *3929,Travel
NSF FEE #9159,Fees
PURCHASE WALGREENS /ONLINE,Health
CARD 9141 LAUNDROMAT #9141,Other
AUTH 5819 PG&E *5819,Utilities
POS 1381 APPLE CASH - BERKELEY CA,P2P
THE LOCAL PUB NEW YORK NY,Bars
WEB 2493 SECOND CUP,Coffee
AUTH 5669 CASH ADVANCE FEE #5669,Fees
WEB 5435 MACY'S SAN FRANCISCO CA,Shopping
PUBLIX SAN FRANCISCO CA,Grocery
PURCHASE SUNOCO /ONLINE,Gas
PAYMENT YARDI RENT,Rent
PARAMOUNT+ STORE 1369,Entertainment
PURCHASE ZARA,Shopping
AUTH 4213 DRY CLEANING,Other
PURCHASE AT&T OAKLAND CA,Utilities
WEB 1187 APPLEBEE'S #1187,Restaurants
PURCHASE THE LOCAL PUB,Bars
AUTH 8828 AVAIL.CO /ONLINE,Rent
POS 9596 OPTOMETRY CENTER /ONLINE,Health
PURCHASE BOJANGLES,Restaurants
FOREIGN TRANSACTION FEE,Fees
STARBUCKS /ONLINE,Coffee
NETFLIX OAKLAND CA,Entertainment
APARTMENTS LLC *4800,Rent
AUTH 3635 HOME DEPOT SAN FRANCISCO CA,Shopping
AUTH 5817 ARBY'S STORE 5817,Restaurants
WEB 9228 AMC THEATRES *9228,Entertainment
PURCHASE JAVAHOUSE STORE 4157,Coffee
DELTA AIR LINES,Travel
PAYMENT AMAZON SEATTLE WA,Shopping
PURCHASE REALPAGE PAYMENTS NEW YORK NY,Rent
CARD 8954 BART CLIPPER - SAN JOSE CA,Transport
PURCHASE BUILDINGLINK,Rent
POS 3187 MOBIL - SAN JOSE CA,Gas
POS 3479 HOTELS.COM #3479,Travel
KOHL'S,Shopping
AUTH 3536 AT&T,Utilities
POS 6705 SCOOTER RENTAL #6705,Transport
POS 3336 BREWHOUSE,Bars
ADT SECURITY,Utilities
LA COLOMBE STORE 3794,Coffee
CARD 5694 CAR WASH /ONLINE,Other
AVIS RENTAL - BERKELEY CA,Transport
GREYHOUND,Transport
AUTH 4343 STREET VENDOR /ONLINE,Other
WEB 1958 APPLEBEE'S BAR STORE 1958,Bars
PAYMENT IKEA #7831,Shopping
PAYMENT PROPERTY MANAGEMENT /ONLINE,Rent
AUTH 2856 ZILLOW RENT - OAKLAND CA,Rent
SPECTRUM OAKLAND CA,Utilities
WEB 6274 DUTCH BROS,Coffee
MCDONALD'S BERKELEY CA,Restaurants
CARD 5105 PAYLEASE #5105,Rent
PAYMENT STUMPTOWN,Coffee
AUTH 1009 PAYLEASE,Rent
AUTH 6752 MEGABUS #6752,Transport
CARD 1770 KOHL'S /ONLINE,Shopping
YARDI RENT,Rent
AUTH 2677 ALASKA AIR *2677,Travel
CARD 6674 FRESH MARKET STORE 6674,Grocery
POS 7051 EXPEDIA /ONLINE,Travel
CARD 4512 HOTELS.COM - BERKELEY CA,Travel
BUFFALO WILD WINGS BAR *1672,Bars
WEB 6072 CASH ADVANCE FEE *6072,Fees
SERVICE CHARGE SAN JOSE CA,Fees
POS 6096 OLIVE GARDEN - OAKLAND CA,Restaurants
PAYMENT CHEVRON,Gas
POS 7201 MONTHLY SERVICE FEE *7201,Fees
PET STORE SAN FRANCISCO CA,Other
PURCHASE GIANT EAGLE #7865,Grocery
WHISKEY BAR STORE 3236,Bars
WEB 6895 EXXONMOBIL,Gas
WEB 9805 JAVAHOUSE /ONLINE,Coffee
GREYHOUND,Transport
LANDLORD TRANSFER #7550,Rent
PAYMENT FOREIGN TRANSACTION FEE,Fees
CARD 7757 WELLNESS CENTER STORE 7757,Health
PAYMENT WISE TRANSFER - BERKELEY CA,P2P
AUTH 8108 AMTRAK - OAKLAND CA,Transport
POS 1745 ZILLOW RENT STORE 1745,Rent
AUTH 2271 WATER BILL,Utilities
RAISING CANE'S - SAN JOSE CA,Restaurants
PAYMENT COSTCO FUEL STORE 2796,Gas
COFFEE REPUBLIC *4342,Coffee
POS 7709 RED LOBSTER STORE 7709,Restaurants
AUTH 2325 GENERAL MERCHANT,Other
CARD 4046 SQUARE CASH STORE 4046,P2P
PURCHASE ACME MARKETS - SEATTLE WA,Grocery
WEB 5818 ELECTRIC CO-OP BERKELEY CA,Utilities
WEB 8064 AT&T INTERNET LOS ANGELES CA,Utilities
HILTON *2419,Travel
PURCHASE SONIC INTERNET SEATTLE WA,Utilities
PURCHASE UBER AIRPORT,Travel
DISTILLERY BAR /ONLINE,Bars
PARAMOUNT+ - SAN FRANCISCO CA,Entertainment
CARD 1613 XFINITY,Utilities
PAYMENT MARSHALLS #9691,Shopping
CARD 6114 PHILLIPS 66 - AUSTIN TX,Gas
CARD 6816 FRONTIER AIRLINES #6816,Travel
PURCHASE AIRPORT SHUTTLE *5524,Transport
PURCHASE HARBOR FREIGHT /ONLINE,Other
PAYMENT STRIPE PAYOUT *6649,P2P
PURCHASE METRONET,Utilities
STRIPE PAYOUT LOS ANGELES CA,P2P
PAYMENT SAM'S CLUB #3126,Shopping
CARD 1206 DUTCH BROS - OAKLAND CA,Coffee
PARKING METER BERKELEY CA,Transport
SUNOCO STORE 7069,Gas
PAYMENT DIVE BAR /ONLINE,Bars
TJ MAXX STORE 7746,Shopping
PURCHASE HERTZ STORE 4663,Transport
WHISKEY BAR,Bars
CARD 5887 TARGET #5887,Shopping
PAYMENT GELSON'S,Grocery
PAYMENT CALTRAIN STORE 6903,Transport
PAYMENT APPLE CASH STORE 6852,P2P
PAYMENT GETTY,Gas
DELTA VACATIONS,Travel
CARD 8535 ZELLE,P2P
WEB 5492 SUNOCO STORE 5492,Gas
PAYMENT TJ MAXX #7512,Shopping
PURCHASE HARDEE'S #8397,Restaurants
PAYMENT KROGER *7800,Grocery
PURCHASE PAYPAL FRIENDS STORE 6025,P2P
PURCHASE LYFT XL - SAN FRANCISCO CA,Transport
AUTH 7029 PAYPAL TRANSFER #7029,P2P
DELTA SHUTTLE,Transport
POS 9611 XBOX LIVE,Entertainment
WEB 3453 TAXI SERVICE /ONLINE,Transport
SHOPRITE AUSTIN TX,Grocery
POS 2681 TENANT WEB #2681,Rent
WEB 1568 CHILI'S BAR,Bars
WEB 2570 BIGGBY COFFEE OAKLAND CA,Coffee
WEB 1908 SPECTRUM STORE 1908,Utilities
REVOLUT,P2P
AUTH 5955 ZARA - BERKELEY CA,Shopping
PAYMENT SWEETGREEN #4847,Restaurants
AUTH 3560 LATE FEE STORE 3560,Fees
WEB 8234 TSA PRECHECK,Travel
AUTH 6051 HOME IMPROVEMENT NEW YORK NY,Other
AMERICAN AIRLINES AUSTIN TX,Travel
AMAZON /ONLINE,Shopping
CARD 2101 DOLLAR GENERAL /ONLINE,Other
CARD 1475 GIANT EAGLE SAN FRANCISCO CA,Grocery
POS 1647 XFINITY,Utilities
UBER AIRPORT STORE 4860,Travel
CARD 4833 KOHL'S,Shopping
CARD 3223 JACK IN THE BOX,Restaurants
DELTA SHUTTLE,Transport
AUTH 4058 THE LOCAL PUB /ONLINE,Bars
PAYMENT BREWHOUSE,Bars
PATREON /ONLINE,Entertainment
WEB 7988 SPROUTS #7988,Grocery
PURCHASE NOODLES & CO *3061,Restaurants
AUTH 7335 CITY PARKING /ONLINE,Transport
PAYMENT FUNIMATION - AUSTIN TX,Entertainment
PURCHASE LYFT RIDE - NEW YORK NY,Transport
AUDIBLE SAN FRANCISCO CA,Entertainment
CARD 6561 DENTAL CLINIC #6561,Health
PAYMENT FANDANGO,Entertainment
WEB 2697 TSA PRECHECK STORE 2697,Travel
PAYMENT FAMILY DOLLAR - NEW YORK NY,Other
CARD 6589 HARRIS TEETER STORE 6589,Grocery
CAFE NERO *7193,Coffee
PAYMENT CHIROPRACTOR - SAN JOSE CA,Health
CARD 4907 BEER GARDEN #4907,Bars
FOOD LION,Grocery
ORTHO CLINIC,Health
PURCHASE BOOKING.COM - LOS ANGELES CA,Travel
PURCHASE AVIS RENTAL #7335,Transport
POS 4665 ZILLOW RENT *4665,Rent
HULU AUSTIN TX,Entertainment
PAYMENT OVERDRAFT FEE /ONLINE,Fees
CARD 6285 T-MOBILE,Utilities
AUTH 3287 AIRPORT SHUTTLE,Transport
PAYMENT CITY PARKING /ONLINE,Transport
WEB 4069 DIRECTV *4069,Utilities
POS 7192 TEXACO,Gas
PAYMENT APARTMENTS LLC #6940,Rent
POS 4697 HARDEE'S,Restaurants
MISC CHARGE #4224,Other
CARD 1123 TENANT WEB - SAN FRANCISCO CA,Rent
KROGER STORE 7730,Grocery
PURCHASE PAYPAL FRIENDS,P2P
WEB 4631 REGAL CINEMAS - SAN JOSE CA,Entertainment
REGAL CINEMAS LOS ANGELES CA,Entertainment
CARD 3193 FRONTIER AIRLINES,Travel
POS 5739 BREWER'S TAPROOM,Bars
AUTH 4816 APARTMENTS LLC,Rent
AUTH 9853 MOBIL /ONLINE,Gas
AUTH 9736 BOJANGLES #9736,Restaurants
COX COMMUNICATIONS,Utilities
GLORIA JEAN'S /ONLINE,Coffee
AUTH 5116 CASH ADVANCE FEE STORE 5116,Fees
TARGET #2396,Shopping
PAYMENT DIRECTV #5272,Utilities
POS 1802 WALMART NEW YORK NY,Shopping
POS 8546 MONTHLY SERVICE FEE STORE 8546,Fees
PEACOCK *8204,Entertainment
PAYMENT CINCINNATI BELL /ONLINE,Utilities
POST OFFICE,Other
WEB 5808 SOUTHWEST,Travel
PAYMENT JACK IN THE BOX - SAN FRANCISCO CA,Restaurants
AUTH 7834 BREWHOUSE STORE 7834,Bars
WEB 8071 ZELLE STORE 8071,P2P
AUTH 3173 FRESH MARKET,Grocery
HOSPITAL BILL *1488,Health
POS 6332 OPTOMETRY CENTER - OAKLAND CA,Health
PAYMENT GAS BUDDY,Gas
PAYMENT DRY CLEANING STORE 3265,Other
PURCHASE FRESH MARKET #4683,Grocery
POS 6983 CHIROPRACTOR *6983,Health
AUTH 5316 WATER BILL,Utilities
PAYMENT TJ MAXX /ONLINE,Shopping
WEB 2090 BATH & BODY WORKS,Shopping
WENDY'S SEATTLE WA,Restaurants
WEB 3290 GIANT FOOD *3290,Grocery
UNITED AIRLINES /ONLINE,Travel
AUTH 9074 PEACOCK *9074,Entertainment
WEB 7774 COX COMMUNICATIONS,Utilities
POS 6118 QUEST DIAGNOSTICS - LOS ANGELES CA,Health
POS 1237 ELECTRIC CO-OP STORE 1237,Utilities
HERTZ /ONLINE,Transport
PAYMENT VERIZON,Utilities
PROPERTY MANAGEMENT,Rent
WEB 7997 THE LOCAL PUB /ONLINE,Bars
CARD 2276 CHEVRON #2276,Gas
SCOOTER RENTAL,Transport
TIM HORTONS STORE 9988,Coffee
SCOOTER RENTAL *7443,Transport
STATEMENT FEE,Fees
COFFEE REPUBLIC NEW YORK NY,Coffee
AUTH 3305 TJ MAXX /ONLINE,Shopping
AUTH 4682 DONATION *4682,Other
EXXON,Gas
COX COMMUNICATIONS SEATTLE WA,Utilities
SEATTLE'S BEST STORE 6914,Coffee
CRUNCHYROLL #3358,Entertainment
PURCHASE HOME DEPOT,Shopping
WEB 8547 HARRIS TEETER AUSTIN TX,Grocery
REMITLY STORE 6453,P2P
WEB 3143 PEET'S COFFEE,Coffee
SPECTRUM #5060,Utilities
AUTH 8400 DOLLAR TREE *8400,Other
CITY PARKING #9501,Transport
PURCHASE PANDA EXPRESS *6425,Restaurants
STAPLES *9431,Shopping
MAINTENANCE FEE,Fees
LAVAZZA CAFE NEW YORK NY,Coffee
CARD 8003 FAMILY DOLLAR,Other
PAYMENT EXXON,Gas
AUTH 6617 VENMO REQUEST /ONLINE,P2P
AUTH 6468 SCOOTER RENTAL,Transport
CARD 7053 PET STORE STORE 7053,Other
TEXACO,Gas
PORTILLO'S *3292,Restaurants
POS 5667 URGENT CARE #5667,Health
REGAL CINEMAS,Entertainment
PEACOCK AUSTIN TX,Entertainment
PANDA EXPRESS /ONLINE,Restaurants
PURCHASE WHISKEY BAR /ONLINE,Bars
CARD 1461 DIVE BAR *1461,Bars
CARD 3992 REVOLUT *3992,P2P
EBAY /ONLINE,Shopping
DELTA VACATIONS *3341,Travel
WEB 9748 XFINITY *9748,Utilities
CARD 8630 PAVILIONS,Grocery
TOLL BRIDGE /ONLINE,Transport
AUTH 7120 PANERA BREAD *7120,Restaurants
PURCHASE PG&E SAN JOSE CA,Utilities
PAYMENT AVAIL.CO STORE 5786,Rent
POS 7961 LEASE DEPOSIT STORE 7961,Rent
WEB 4452 REALPAGE PAYMENTS,Rent
CARD 6198 THE ALEHOUSE - AUSTIN TX,Bars
VENMO REQUEST,P2P
POS 7113 76 STATION LOS ANGELES CA,Gas
AUTH 4574 LYFT AIRPORT *4574,Travel
POS 4797 EXXONMOBIL /ONLINE,Gas
PAYMENT EXXONMOBIL - NEW YORK NY,Gas
CARD 6845 MOBIL - SEATTLE WA,Gas
AUTH 5911 EXXONMOBIL #5911,Gas
WINCO STORE 3574,Grocery
WEB 8368 SUBWAY,Restaurants
CARD 3755 MOBIL - LOS ANGELES CA,Gas
PAYMENT FRONTIER AIRLINES - AUSTIN TX,Travel
BUDGET RENTAL,Transport
PURCHASE GOOGLE PAY,P2P
POS 4033 CALTRAIN STORE 4033,Transport
PURCHASE PAYPAL TRANSFER SAN JOSE CA,P2P
POS 2349 AVIS RENTAL #2349,Transport
AUTH 8279 QDOBA AUSTIN TX,Restaurants
VENMO STORE 6924,P2P
NETFLIX /ONLINE,Entertainment
PURCHASE ELECTRIC CO-OP *3991,Utilities
PURCHASE BUILDINGLINK,Rent
NOB HILL FOODS AUSTIN TX,Grocery
AUTH 4748 BUFFALO WILD WINGS BAR - LOS ANGELES CA,Bars
PAYMENT WISE TRANSFER - AUSTIN TX,P2P
POS 2061 AMTRAK,Transport
PAYMENT WIRE FEE *8415,Fees
PAYMENT CULVER'S #7521,Restaurants
PURCHASE ARCO - SAN FRANCISCO CA,Gas
WEB 6698 SHOPRITE - BERKELEY CA,Grocery
PAYMENT CHIROPRACTOR /ONLINE,Health
PURCHASE ZAXBY'S *7361,Restaurants
AUTH 1235 GELSON'S #1235,Grocery
GETTY /ONLINE,Gas
AUTH 1782 SPOTIFY *1782,Entertainment
HOME IMPROVEMENT,Other
ZELLE #5936,P2P
WEB 2395 AMAZON #2395,Shopping
PAYMENT AMERICAN AIRLINES,Travel
HOME DEPOT SAN FRANCISCO CA,Shopping
PURCHASE RENTCAFE #3550,Rent
EXXONMOBIL STORE 1658,Gas
PURCHASE GYM MEMBERSHIP,Health
ZELLE REQUEST /ONLINE,P2P
PURCHASE OLIVE GARDEN #1079,Restaurants
AUTH 1164 STATEMENT FEE - AUSTIN TX,Fees
AIRBNB STORE 2833,Travel
CARD 8100 CIRCLE K #8100,Gas
AUTH 5401 COFFEE BEAN & TEA LEAF,Coffee
AUTH 2443 ANNUAL FEE - BERKELEY CA,Fees
REGAL CINEMAS,Entertainment
AUTH 2764 PAYPAL TRANSFER - AUSTIN TX,P2P
POS 2205 TENANT WEB *2205,Rent
AUTH 7644 CINCINNATI BELL,Utilities
THRIFT STORE /ONLINE,Other
DOMINO'S PIZZA,Restaurants
PURCHASE CHILI'S BAR,Bars
PURCHASE FUNIMATION *8466,Entertainment
PAYMENT PEET'S COFFEE,Coffee
SPEAKEASY STORE 2162,Bars
VENMO REQUEST #9901,P2P
POS 4510 RENT PAYMENT PORTAL,Rent
POS 1087 ZELLE REQUEST,P2P
LAUNDROMAT /ONLINE,Other
PURCHASE TRUE VALUE,Other
DOLLAR TREE,Other
POS 9079 CHIROPRACTOR STORE 9079,Health
AMC THEATRES #6614,Entertainment
PAYMENT METRONET,Utilities
SAM'S CLUB /ONLINE,Shopping
CHEESECAKE FACTORY /ONLINE,Restaurants
PAYMENT SAM'S CLUB STORE 5074,Shopping
WALMART SAN FRANCISCO CA,Shopping
POS 4505 MAINTENANCE FEE - BERKELEY CA,Fees
LAVAZZA CAFE - LOS ANGELES CA,Coffee
CARD 3130 PHILZ COFFEE,Coffee
WEB 2686 HOSPITAL BILL #2686,Health
